fips,asian,white,black,hispanic,popsqmi,nat_amer,pct_change
08109,0.007695,0.822528,0.002292,0.401441,1.9,0.018664,0.0322799
08111,0.011445,0.925608,0,0.120172,1.8,0.002861,0.252688
08113,0.007202,0.929066,0.003941,0.085609,5.7,0.007746,0.116015
08115,0.007146,0.922236,0.003363,0.12148,4.3,0.004203,-0.133964
08117,0.009931,0.896728,0.008216,0.142495,46,0.003108,0.188806
08119,0.007066,0.942527,0.004711,0.055418,41.9,0.009079,0.135977
08121,0.002285,0.953054,0.006232,0.084545,1.9,0.001454,-0.0227365
08123,0.011953,0.829008,0.009781,0.283516,63.4,0.011142,0.397317
08125,0.00229,0.882306,0.001792,0.207906,4.2,0.004979,0.0205264
09001,0.04612,0.748122,0.108327,0.169088,1467.2,0.0026,0.0388208
09003,0.042458,0.723967,0.133321,0.152999,1216.2,0.00267,0.0429675
09005,0.015311,0.938613,0.013468,0.044938,206.3,0.002127,0.0424495
09007,0.025634,0.892241,0.046639,0.047285,448.6,0.001527,0.068388
09009,0.035088,0.747549,0.127366,0.150431,1426.7,0.002895,0.0466852
09011,0.041535,0.82178,0.058474,0.084706,412.2,0.009141,0.057768
09013,0.033623,0.898056,0.032818,0.043238,372.2,0.001729,0.119731
09015,0.01172,0.895903,0.022098,0.095847,230.9,0.004745,0.0855891
10001,0.020368,0.677709,0.239745,0.057581,276.9,0.006426,0.281088
10003,0.04327,0.655467,0.237309,0.087136,1263.2,0.002923,0.0763875
10005,0.009856,0.789586,0.127394,0.085998,210.6,0.007933,0.258603
11001,0.034993,0.38468,0.507085,0.090987,9856.5,0.003455,0.0518548
12001,0.05351,0.696041,0.203294,0.083902,282.7,0.003121,0.134803
12003,0.004868,0.836659,0.135718,0.019178,46.3,0.002803,0.218159
12005,0.019858,0.821613,0.107668,0.048012,222.6,0.006828,0.139222
12007,0.005295,0.764411,0.204173,0.035764,97,0.003191,0.0932229
12009,0.020886,0.829862,0.100849,0.08087,535,0.003898,0.140995
12011,0.03249,0.630543,0.267449,0.250704,1444.9,0.002897,0.0770466
12013,0.005128,0.808068,0.137504,0.051624,25.8,0.011282,0.123531
12015,0.011952,0.900493,0.056814,0.057589,235.2,0.002607,0.129573
12017,0.014132,0.930004,0.028229,0.046617,242.8,0.003413,0.196054
12019,0.029282,0.817787,0.098661,0.076541,315.8,0.004563,0.355441
12021,0.010908,0.838505,0.065585,0.258699,160.9,0.003493,0.279035
12023,0.009211,0.779064,0.175001,0.048511,84.7,0.005124,0.194964
12027,0.005106,0.66244,0.127101,0.299036,54.7,0.00393,0.0823683
12029,0.002923,0.888077,0.084399,0.031178,23.3,0.004202,0.187676
12031,0.041539,0.608662,0.29507,0.075669,1133.9,0.003949,0.109624
12033,0.027465,0.688777,0.229428,0.047245,453.4,0.008813,0.0108998
12035,0.02138,0.8225,0.113735,0.086221,197.1,0.00279,0.920372
12037,0.002251,0.826046,0.137588,0.045805,21.6,0.005022,0.0444967
12039,0.004893,0.358835,0.560391,0.09526,89.8,0.002953,0.0288775
12041,0.003542,0.908908,0.052955,0.049885,48.4,0.004959,0.173305
12043,0.003958,0.710416,0.123254,0.211115,16,0.045716,0.21823
12045,0.0029,0.780685,0.186724,0.042741,28.1,0.003972,0.189844
12047,0.005135,0.598081,0.344753,0.088249,28.8,0.006284,0.110452
12049,0.010746,0.721683,0.069814,0.428942,43.5,0.006202,0.029438
12051,0.007128,0.598774,0.134415,0.491645,34,0.017169,0.0809169
12053,0.010759,0.894778,0.051025,0.102999,365.6,0.003548,0.320913
12055,0.014567,0.809548,0.093768,0.173678,97.2,0.004768,0.130714
12057,0.03423,0.712755,0.166831,0.249454,1204.9,0.003888,0.230521
12059,0.004366,0.905455,0.05756,0.022281,41.6,0.008029,0.0734217
12061,0.01207,0.842916,0.089815,0.112042,274.5,0.002956,0.22206
12063,0.004804,0.69097,0.265971,0.043079,54.2,0.006734,0.0639718
